case_id,posted_by,phone,email,resources_offered,details,city,state,zip,latitude,longitude,post_time,availability_window,skills,capacity_notes,source_platform,source_post_id
CC-DC-001,Volunteer DC1,+1-202-555-1000,voldc1@example.org,"hot meals, medical assistance","Offer to support hot meals, medical assistance in Washington, DC. Can coordinate with local NGOs.",Washington,DC,20001,38.90720,-77.03690,2025-09-30T12:00:00,same-day,CPR;EMT,solo volunteer,CrisisCleanup,cc_0000009b_dc1
CC-DC-002,Volunteer DC2,+1-202-555-1001,voldc2@example.org,"medical assistance, transportation","Offer to support medical assistance, transportation in Washington, DC. Can coordinate with local NGOs.",Washington,DC,20002,38.91720,-77.04690,2025-09-29T12:00:00,24-48 hours,EMT;Spanish,team of 3,CrisisCleanup,cc_0000009b_dc2
CC-DC-003,Volunteer DC3,+1-202-555-1002,voldc3@example.org,"transportation, temporary housing","Offer to support transportation, temporary housing in Washington, DC. Can coordinate with local NGOs.",Washington,DC,20003,38.92720,-77.05690,2025-09-28T12:00:00,week-long,Spanish;ASL,team of 5,CrisisCleanup,cc_0000009b_dc3
CC-DC-004,Volunteer DC4,+1-202-555-1003,voldc4@example.org,"temporary housing, pet fostering","Offer to support temporary housing, pet fostering in Washington, DC. Can coordinate with local NGOs.",Washington,DC,20009,38.93720,-77.06690,2025-09-27T12:00:00,weekends only,ASL;Logistics,can coordinate up to 10 people,CrisisCleanup,cc_0000009b_dc4
CC-DC-005,Volunteer DC5,+1-202-555-1004,voldc5@example.org,"pet fostering, childcare","Offer to support pet fostering, childcare in Washington, DC. Can coordinate with local NGOs.",Washington,DC,20001,38.94720,-77.07690,2025-09-26T12:00:00,same-day,Logistics;Driver,solo volunteer,CrisisCleanup,cc_0000009b_dc5
CC-DC-006,Volunteer DC6,+1-202-555-1005,voldc6@example.org,"childcare, debris removal","Offer to support childcare, debris removal in Washington, DC. Can coordinate with local NGOs.",Washington,DC,20002,38.95720,-77.08690,2025-09-25T12:00:00,24-48 hours,Driver;Chef,team of 3,CrisisCleanup,cc_0000009b_dc6
CC-DC-007,Volunteer DC7,+1-202-555-1006,voldc7@example.org,"debris removal, language translation","Offer to support debris removal, language translation in Washington, DC. Can coordinate with local NGOs.",Washington,DC,20003,38.96720,-77.09690,2025-09-24T12:00:00,week-long,Chef;Counselor,team of 5,CrisisCleanup,cc_0000009b_dc7
CC-DC-008,Volunteer DC8,+1-202-555-1007,voldc8@example.org,"language translation, legal aid","Offer to support language translation, legal aid in Washington, DC. Can coordinate with local NGOs.",Washington,DC,20009,38.97720,-77.10690,2025-09-23T12:00:00,weekends only,Counselor;IT support,can coordinate up to 10 people,CrisisCleanup,cc_0000009b_dc8
CC-DC-009,Volunteer DC9,+1-202-555-1008,voldc9@example.org,"legal aid, internet access","Offer to support legal aid, internet access in Washington, DC. Can coordinate with local NGOs.",Washington,DC,20001,38.98720,-77.11690,2025-09-22T12:00:00,same-day,IT support,solo volunteer,CrisisCleanup,cc_0000009b_dc9
CC-DC-010,Volunteer DC10,+1-202-555-1009,voldc10@example.org,"internet access, charging stations","Offer to support internet access, charging stations in Washington, DC. Can coordinate with local NGOs.",Washington,DC,20002,38.99720,-77.12690,2025-09-21T12:00:00,24-48 hours,CPR;EMT,team of 3,CrisisCleanup,cc_0000009b_dc10
CC-DC-011,Volunteer DC11,+1-202-555-1010,voldc11@example.org,"charging stations, mental health support","Offer to support charging stations, mental health support in Washington, DC. Can coordinate with local NGOs.",Washington,DC,20003,39.00720,-77.13690,2025-09-20T12:00:00,week-long,EMT;Spanish,team of 5,CrisisCleanup,cc_0000009b_dc11
CC-DC-012,Volunteer DC12,+1-202-555-1011,voldc12@example.org,"mental health support, volunteer labor","Offer to support mental health support, volunteer labor in Washington, DC. Can coordinate with local NGOs.",Washington,DC,20009,39.01720,-77.14690,2025-09-19T12:00:00,weekends only,Spanish;ASL,can coordinate up to 10 people,CrisisCleanup,cc_0000009b_dc12
CC-VA-001,Volunteer VA1,+1-202-555-1000,volva1@example.org,"hot meals, medical assistance","Offer to support hot meals, medical assistance in Richmond, VA. Can coordinate with local NGOs.",Richmond,VA,23219,37.54070,-77.43600,2025-09-28T12:00:00,same-day,CPR;EMT,solo volunteer,CrisisCleanup,cc_0000009b_va1
CC-VA-002,Volunteer VA2,+1-202-555-1001,volva2@example.org,"medical assistance, transportation","Offer to support medical assistance, transportation in Arlington, VA. Can coordinate with local NGOs.",Arlington,VA,22201,37.55070,-77.44600,2025-09-27T12:00:00,24-48 hours,EMT;Spanish,team of 3,CrisisCleanup,cc_0000009b_va2
CC-VA-003,Volunteer VA3,+1-202-555-1002,volva3@example.org,"transportation, temporary housing","Offer to support transportation, temporary housing in Norfolk, VA. Can coordinate with local NGOs.",Norfolk,VA,23510,37.56070,-77.45600,2025-09-26T12:00:00,week-long,Spanish;ASL,team of 5,CrisisCleanup,cc_0000009b_va3
CC-VA-004,Volunteer VA4,+1-202-555-1003,volva4@example.org,"temporary housing, pet fostering","Offer to support temporary housing, pet fostering in Alexandria, VA. Can coordinate with local NGOs.",Alexandria,VA,22314,37.57070,-77.46600,2025-09-25T12:00:00,weekends only,ASL;Logistics,can coordinate up to 10 people,CrisisCleanup,cc_0000009b_va4
CC-VA-005,Volunteer VA5,+1-202-555-1004,volva5@example.org,"pet fostering, childcare","Offer to support pet fostering, childcare in Roanoke, VA. Can coordinate with local NGOs.",Roanoke,VA,24011,37.58070,-77.47600,2025-09-24T12:00:00,same-day,Logistics;Driver,solo volunteer,CrisisCleanup,cc_0000009b_va5
CC-VA-006,Volunteer VA6,+1-202-555-1005,volva6@example.org,"childcare, debris removal","Offer to support childcare, debris removal in Virginia Beach, VA. Can coordinate with local NGOs.",Virginia Beach,VA,23451,37.59070,-77.48600,2025-09-23T12:00:00,24-48 hours,Driver;Chef,team of 3,CrisisCleanup,cc_0000009b_va6
CC-VA-007,Volunteer VA7,+1-202-555-1006,volva7@example.org,"debris removal, language translation","Offer to support debris removal, language translation in Richmond, VA. Can coordinate with local NGOs.",Richmond,VA,23219,37.60070,-77.49600,2025-09-22T12:00:00,week-long,Chef;Counselor,team of 5,CrisisCleanup,cc_0000009b_va7
CC-VA-008,Volunteer VA8,+1-202-555-1007,volva8@example.org,"language translation, legal aid","Offer to support language translation, legal aid in Arlington, VA. Can coordinate with local NGOs.",Arlington,VA,22201,37.61070,-77.50600,2025-09-21T12:00:00,weekends only,Counselor;IT support,can coordinate up to 10 people,CrisisCleanup,cc_0000009b_va8
CC-VA-009,Volunteer VA9,+1-202-555-1008,volva9@example.org,"legal aid, internet access","Offer to support legal aid, internet access in Norfolk, VA. Can coordinate with local NGOs.",Norfolk,VA,23510,37.62070,-77.51600,2025-09-20T12:00:00,same-day,IT support,solo volunteer,CrisisCleanup,cc_0000009b_va9
CC-VA-010,Volunteer VA10,+1-202-555-1009,volva10@example.org,"internet access, charging stations","Offer to support internet access, charging stations in Alexandria, VA. Can coordinate with local NGOs.",Alexandria,VA,22314,37.63070,-77.52600,2025-09-19T12:00:00,24-48 hours,CPR;EMT,team of 3,CrisisCleanup,cc_0000009b_va10
CC-VA-011,Volunteer VA11,+1-202-555-1010,volva11@example.org,"charging stations, mental health support","Offer to support charging stations, mental health support in Roanoke, VA. Can coordinate with local NGOs.",Roanoke,VA,24011,37.64070,-77.53600,2025-09-18T12:00:00,week-long,EMT;Spanish,team of 5,CrisisCleanup,cc_0000009b_va11
CC-VA-012,Volunteer VA12,+1-202-555-1011,volva12@example.org,"mental health support, volunteer labor","Offer to support mental health support, volunteer labor in Virginia Beach, VA. Can coordinate with local NGOs.",Virginia Beach,VA,23451,37.65070,-77.54600,2025-09-17T12:00:00,weekends only,Spanish;ASL,can coordinate up to 10 people,CrisisCleanup,cc_0000009b_va12
CC-MD-001,Volunteer MD1,+1-202-555-1000,volmd1@example.org,"hot meals, medical assistance","Offer to support hot meals, medical assistance in Baltimore, MD. Can coordinate with local NGOs.",Baltimore,MD,21201,39.29040,-76.61220,2025-09-26T12:00:00,same-day,CPR;EMT,solo volunteer,CrisisCleanup,cc_0000009b_md1
CC-MD-002,Volunteer MD2,+1-202-555-1001,volmd2@example.org,"medical assistance, transportation","Offer to support medical assistance, transportation in Rockville, MD. Can coordinate with local NGOs.",Rockville,MD,20850,39.30040,-76.62220,2025-09-25T12:00:00,24-48 hours,EMT;Spanish,team of 3,CrisisCleanup,cc_0000009b_md2
CC-MD-003,Volunteer MD3,+1-202-555-1002,volmd3@example.org,"transportation, temporary housing","Offer to support transportation, temporary housing in Silver Spring, MD. Can coordinate with local NGOs.",Silver Spring,MD,20910,39.31040,-76.63220,2025-09-24T12:00:00,week-long,Spanish;ASL,team of 5,CrisisCleanup,cc_0000009b_md3
