resources_offered,location,details,posted_by,contact_method,source_platform,source_post_id,post_time,availability_window,skills,capacity_notes,latitude,longitude,state,city
"hot meals, medical assistance","Washington, DC","Offer to support hot meals, medical assistance in Washington, DC. Can coordinate with local NGOs.",Volunteer DC1,voldc1@example.org,CrisisCleanup,cc_0000009b_dc1,2025-09-30T12:00:00,same-day,CPR;EMT,solo volunteer,38.90720,-77.03690,DC,Washington
"internet access, charging stations","Washington, DC","Offer to support internet access, charging stations in Washington, DC. Can coordinate with local NGOs.",Volunteer DC10,voldc10@example.org,CrisisCleanup,cc_0000009b_dc10,2025-09-21T12:00:00,24-48 hours,CPR;EMT,team of 3,38.99720,-77.12690,DC,Washington
"charging stations, mental health support","Washington, DC","Offer to support charging stations, mental health support in Washington, DC. Can coordinate with local NGOs.",Volunteer DC11,voldc11@example.org,CrisisCleanup,cc_0000009b_dc11,2025-09-20T12:00:00,week-long,EMT;Spanish,team of 5,39.00720,-77.13690,DC,Washington
"mental health support, volunteer labor","Washington, DC","Offer to support mental health support, volunteer labor in Washington, DC. Can coordinate with local NGOs.",Volunteer DC12,voldc12@example.org,CrisisCleanup,cc_0000009b_dc12,2025-09-19T12:00:00,weekends only,Spanish;ASL,can coordinate up to 10 people,39.01720,-77.14690,DC,Washington
"medical assistance, transportation","Washington, DC","Offer to support medical assistance, transportation in Washington, DC. Can coordinate with local NGOs.",Volunteer DC2,voldc2@example.org,CrisisCleanup,cc_0000009b_dc2,2025-09-29T12:00:00,24-48 hours,EMT;Spanish,team of 3,38.91720,-77.04690,DC,Washington
"transportation, temporary housing","Washington, DC","Offer to support transportation, temporary housing in Washington, DC. Can coordinate with local NGOs.",Volunteer DC3,voldc3@example.org,CrisisCleanup,cc_0000009b_dc3,2025-09-28T12:00:00,week-long,Spanish;ASL,team of 5,38.92720,-77.05690,DC,Washington
"temporary housing, pet fostering","Washington, DC","Offer to support temporary housing, pet fostering in Washington, DC. Can coordinate with local NGOs.",Volunteer DC4,voldc4@example.org,CrisisCleanup,cc_0000009b_dc4,2025-09-27T12:00:00,weekends only,ASL;Logistics,can coordinate up to 10 people,38.93720,-77.06690,DC,Washington
"pet fostering, childcare","Washington, DC","Offer to support pet fostering, childcare in Washington, DC. Can coordinate with local NGOs.",Volunteer DC5,voldc5@example.org,CrisisCleanup,cc_0000009b_dc5,2025-09-26T12:00:00,same-day,Logistics;Driver,solo volunteer,38.94720,-77.07690,DC,Washington
"childcare, debris removal","Washington, DC","Offer to support childcare, debris removal in Washington, DC. Can coordinate with local NGOs.",Volunteer DC6,voldc6@example.org,CrisisCleanup,cc_0000009b_dc6,2025-09-25T12:00:00,24-48 hours,Driver;Chef,team of 3,38.95720,-77.08690,DC,Washington
"debris removal, language translation","Washington, DC","Offer to support debris removal, language translation in Washington, DC. Can coordinate with local NGOs.",Volunteer DC7,voldc7@example.org,CrisisCleanup,cc_0000009b_dc7,2025-09-24T12:00:00,week-long,Chef;Counselor,team of 5,38.96720,-77.09690,DC,Washington
"language translation, legal aid","Washington, DC","Offer to support language translation, legal aid in Washington, DC. Can coordinate with local NGOs.",Volunteer DC8,voldc8@example.org,CrisisCleanup,cc_0000009b_dc8,2025-09-23T12:00:00,weekends only,Counselor;IT support,can coordinate up to 10 people,38.97720,-77.10690,DC,Washington
